global_step,eval/winrate,episode/total_reward,episode/length,worker/entropy,worker/intrinsic_reward,worker/advantage,manager/cosines,manager/advantage,loss/total,loss/worker,loss/manager,loss/value_worker,loss/value_manager,ppg/aux_value_worker,charts/learning_rate,charts/steps_per_sec,charts/episode_reward/WinLossRewardFunction,charts/episode_reward/ResourceGatherRewardFunction,charts/episode_reward/ProduceWorkerRewardFunction,charts/episode_reward/ProduceBuildingRewardFunction,charts/episode_reward/AttackRewardFunction,charts/episode_reward/ProduceCombatUnitRewardFunction
2534400.0,,,,,,,,,,,,,,0.4252476990222931,,,,,,,,
2556000.0,,48.0,1055.0,,,,,,,,,,,,,,-1.0,29.0,14.0,0.0,25.0,0.0
2745600.0,,,,,,,,,,,,,,0.48791199922561646,,,,,,,,
2832000.0,,70.2,1123.0,,,,,,,,,,,,,,-1.0,49.0,13.0,1.0,8.0,5.0
2875200.0,,70.2,1323.0,,,,,,,,,,,,,,-1.0,46.0,15.0,1.0,13.0,4.0
2918400.0,,,,,,,,,,,,,,,,1636.409187759118,,,,,,
2947200.0,,,,,,,,,,,,,,,,1636.2760607420803,,,,,,
2976000.0,,,,,,,,,,,,,,,,1636.3408823089549,,,,,,
3009600.0,,137.2,1620.0,,,,,,,,,,,,,,-1.0,53.0,16.0,1.0,68.0,5.0
3182400.0,,,,,,,,,,,,,,,,1637.262983480748,,,,,,
3220800.0,,,,,,,,,,,,,,,,1637.9913494425641,,,,,,
3252000.0,,,,,,,,,,,,,,,,1638.3893103772473,,,,,,
3340800.0,,45.2,889.0,,,,,,,,,,,,,,-1.0,36.0,13.0,1.0,8.0,2.0
3585600.0,,108.19999999999999,1228.0,,,,,,,,,,,,,,-1.0,49.0,16.0,1.0,47.0,4.0
3760800.0,,96.60000000000001,1100.0,,,,,,,,,,,,,,-1.0,51.0,15.0,3.0,38.0,3.0
3816000.0,,83.2,1153.0,,,,,,,,,,,,,,-1.0,40.0,13.0,1.0,38.0,3.0
3914400.0,,,,,,,,,,,,,,,,1643.7018867648464,,,,,,
3928800.0,,,,0.0016452433774247766,-0.0892333835363388,-1.5894572324981482e-09,-0.13256698846817017,-1.5099843153620895e-08,1.2232294082641602,1.088459885068005e-05,0.005845409352332354,0.525312602519989,0.703789472579956,,0.000399873221270579,,,,,,,
4130400.0,,,,,,,,,,,,,,,,1644.7146625887563,,,,,,
4144800.0,,,,0.0011553290532901883,0.05066612362861633,-2.106030905224543e-08,0.08310791105031967,-2.543131571997037e-08,1.4163779020309448,7.29178555047838e-06,-0.01794242113828659,0.5294857621192932,0.8689685463905334,,0.00039985889108200886,,,,,,,
4152000.0,,,,,,,,,,,,,,,,1644.9120790808677,,,,,,
4192800.0,,,,,,,,,,,,,,,,1645.4375947947783,,,,,,
4204800.0,,,,,,,,,,,,,,0.5140261054039001,,,,,,,,
4212000.0,,87.2,1366.0,,,,,,,,,,,,,,-1.0,57.0,19.0,1.0,15.0,4.0
4312800.0,,,,0.0010873173596337438,-0.038331661373376846,1.3311704627483323e-08,-0.005755273625254631,2.582867919542764e-09,2.404802083969116,-0.00016188550216611475,0.07720243185758591,1.3203823566436768,1.1614712476730347,,0.00039984721528532656,,,,,,,
4336800.0,,,,,,,,,,,,,,,,1646.0246115865245,,,,,,
4468800.0,,,,0.001054076012223959,-0.0670500323176384,3.5762788286319847e-09,-0.06089838221669197,-3.5762788286319847e-09,1.3522855043411255,7.207169255707413e-05,0.039769984781742096,0.5729875564575195,0.8191503882408142,,0.0003998359581891237,,,,,,,
4699200.0,,,,0.0008416250930167735,-0.020755913108587265,-9.33806099112644e-09,0.018619980663061142,-1.0132789718397817e-08,1.2187608480453491,-6.262903866627312e-07,-0.047086965292692184,0.5022650361061096,0.6694167256355286,,0.00039981860091978195,,,,,,,
4701600.0,,78.2,1478.0,,,,,,,,,,,,,,-1.0,55.0,16.0,1.0,7.0,5.0
4713600.0,,,,0.000961749698035419,0.022857557982206345,-1.3709068547029801e-08,0.0631677657365799,1.1126200405442432e-08,1.1044083833694458,0.00012224841339047998,-0.06562099605798721,0.4096603989601135,0.629258930683136,,0.00039981748713149867,,,,,,,
4728000.0,,7.199999999999999,655.0,,,,,,,,,,,,,,-1.0,14.0,5.0,1.0,8.0,0.0
4802400.0,,,,0.0017577486578375101,0.05266137793660164,1.4305115314527939e-08,0.06363759189844131,2.1457672971791908e-08,0.8640403151512146,6.046572161721997e-05,0.0010778793366625905,0.31404954195022583,0.5511466860771179,,0.0003998105434909027,,,,,,,
4812000.0,,,,,,,,,,,,,,,,1647.825098014662,,,,,,
4867200.0,,221.2,4000.0,,,,,,,,,,,,,,0.0,100.0,42.0,1.0,67.0,3.0
4891200.0,,86.2,1378.0,,,,,,,,,,,,,,-1.0,57.0,18.0,1.0,11.0,5.0
4951200.0,,51.2,1425.0,,,,,,,,,,,,,,-1.0,19.0,7.0,1.0,41.0,1.0
4951200.0,,,,,,,,,,,,,,,,1648.5335295473624,,,,,,
5028000.0,,,,0.0017122530844062567,-0.059237461537122726,1.1126200405442432e-08,-0.0810503289103508,-5.563100202721216e-09,1.0141136646270752,-0.0002123240992659703,-0.027832821011543274,0.41185879707336426,0.5742269158363342,,0.00039979232027680605,,,,,,,
5097600.0,,89.2,1496.0,,,,,,,,,,,,,,-1.0,56.0,14.0,1.0,15.0,6.0
5160000.0,,,,,,,,,,,,,,,,1603.0995926026512,,,,,,
5164800.0,,,,,,,,,,,,,,,,1603.0114524635633,,,,,,
5172000.0,,,,,,,,,,,,,,,,1603.2465600287603,,,,,,
5191200.0,,83.2,1280.0,,,,,,,,,,,,,,-1.0,56.0,17.0,1.0,10.0,5.0
5260800.0,,,,,,,,,,,,,,0.5315072536468506,,,,,,,,
5318400.0,,,,0.0016983550740405917,-0.02210948057472706,5.165735839085528e-09,-0.008590176701545715,-7.947286384535346e-09,1.3862550258636475,-0.00013337780546862632,0.05318179354071617,0.6470397710800171,0.7922806143760681,,0.00039976763201981196,,,,,,,
5445600.0,,27.200000000000003,795.0,,,,,,,,,,,,,,-1.0,23.0,8.0,1.0,12.0,1.0
5474400.0,,,,,,,,,,,,,,,,1607.1150770881611,,,,,,
5546400.0,,73.2,1133.0,,,,,,,,,,,,,,-1.0,50.0,15.0,1.0,12.0,4.0
5616000.0,,27.200000000000003,860.0,,,,,,,,,,,,,,-1.0,30.0,12.0,1.0,1.0,1.0
5733600.0,,77.2,978.0,,,,,,,,,,,,,,-1.0,38.0,11.0,1.0,36.0,3.0
5796000.0,,133.2,1334.0,,,,,,,,,,,,,,-1.0,60.0,19.0,1.0,58.0,4.0
5815200.0,,,,,,,,,,,,,,,,1610.7153485790018,,,,,,
5952000.0,,,,,,,,,,,,,,0.5352343916893005,,,,,,,,
5976000.0,,,,0.0011407403508201241,0.032274652272462845,-8.344650304081824e-09,0.11105158925056458,-9.934107758624577e-09,1.0728846788406372,3.274291884736158e-05,-0.01894320920109749,0.4429403841495514,0.6110453605651855,,0.000399706607404753,,,,,,,
5988000.0,,,,,,,,,,,,,,,,1612.2820766553416,,,,,,
6036000.0,,159.2,1657.0,,,,,,,,,,,,,,-1.0,62.0,21.0,1.0,80.0,4.0
6240000.0,,,,,,,,,,,,,,,,1614.2183896902202,,,,,,
6357600.0,,,,0.0018230634741485119,-0.0189821794629097,-5.563100202721216e-09,-0.05727895721793175,1.5894572324981482e-09,1.052330493927002,5.5685108236502856e-05,0.03855517506599426,0.4415118396282196,0.6494476795196533,,0.0003996679399386266,,,,,,,
6530400.0,,,,,,,,,,,,,,,,1616.3117609314136,,,,,,
6532800.0,,,,,,,,,,,,,,,,1616.3378064104827,,,,,,
6592800.0,,,,0.0013487259857356548,-0.004197767470031977,5.761782606583665e-09,0.003042972646653652,2.98023217215615e-10,1.2329719066619873,-4.7367033403133973e-05,-0.05430572107434273,0.4943958520889282,0.6842363476753235,,0.00039964291659865946,,,,,,,
6621600.0,,16.200000000000003,720.0,,,,,,,,,,,,,,-1.0,15.0,4.0,1.0,13.0,1.0
6631200.0,,,,,,,,,,,,,,,,1617.015538943466,,,,,,
6748800.0,,,,0.0017143089789897203,-0.07101625949144363,-3.9736430812453705e-10,-0.07075295597314835,2.38418573772492e-09,0.818254828453064,0.0002670337853487581,-0.018429281190037727,0.30864888429641724,0.4914608895778656,,0.00039962581874231117,,,,,,,
6756000.0,,90.2,1364.0,,,,,,,,,,,,,,-1.0,61.0,21.0,1.0,12.0,4.0
6756000.0,,,,,,,,,,,,,,,,1617.2280714604976,,,,,,
6835200.0,,77.2,1339.0,,,,,,,,,,,,,,-1.0,53.0,17.0,1.0,11.0,4.0
6907200.0,,,,,,,,,,,,,,,,1618.3216097057718,,,,,,
6936000.0,,86.2,1418.0,,,,,,,,,,,,,,-1.0,60.0,20.0,1.0,10.0,4.0
6962400.0,,80.2,1424.0,,,,,,,,,,,,,,-1.0,55.0,19.0,1.0,10.0,4.0
7080000.0,,,,0.0009965935023501515,0.005073965527117252,-1.19209286886246e-09,-0.018981682136654854,-4.371007555903361e-09,1.0558249950408936,8.106849236355629e-06,-0.003175131045281887,0.4538653790950775,0.5988026261329651,,0.00039958819490888513,,,,,,,
7195200.0,,-7.800000000000001,818.0,,,,,,,,,,,,,,-1.0,8.0,4.0,1.0,0.0,0.0
7252800.0,,92.2,1561.0,,,,,,,,,,,,,,-1.0,61.0,22.0,1.0,13.0,4.0
7305600.0,,126.0,2040.0,,,,,,,,,,,,,,-1.0,64.0,24.0,5.0,53.0,1.0
7315200.0,,,,0.001352907856926322,-0.05172261968255043,-2.1855036891338386e-08,-0.04076359421014786,-1.5298525113394135e-08,1.460332989692688,6.350161856971681e-05,-0.06279449164867401,0.5831412672996521,0.8144742250442505,,0.0003995603838479061,,,,,,,
7341600.0,,,,0.0014728264650329947,-0.03542359918355942,-4.172325152040912e-09,-0.04185307398438454,-3.973643192267673e-09,1.3498437404632568,8.630721276858822e-05,0.03339312598109245,0.4899211823940277,0.8934167623519897,,0.0003995572055599881,,,,,,,
7351200.0,,107.2,1149.0,,,,,,,,,,,,,,-1.0,53.0,18.0,1.0,40.0,4.0
7396800.0,,103.60000000000001,1365.0,,,,,,,,,,,,,,-1.0,71.0,23.0,3.0,9.0,5.0
7430400.0,,,,,,,,,,,,,,0.4325554370880127,,,,,,,,
7488000.0,,2.1999999999999993,882.0,,,,,,,,,,,,,,-1.0,15.0,7.0,1.0,0.0,0.0
7540800.0,,71.2,1189.0,,,,,,,,,,,,,,-1.0,56.0,18.0,1.0,1.0,4.0
7574400.0,,76.2,1243.0,,,,,,,,,,,,,,-1.0,55.0,17.0,1.0,8.0,4.0
7624800.0,,46.2,994.0,,,,,,,,,,,,,,-1.0,38.0,15.0,1.0,5.0,2.0
7665600.0,,73.2,1335.0,,,,,,,,,,,,,,-1.0,52.0,19.0,1.0,10.0,3.0
7766400.0,,,,,,,,,,,,,,,,1620.4256414978397,,,,,,
7833600.0,,59.2,1059.0,,,,,,,,,,,,,,-1.0,46.0,16.0,1.0,5.0,3.0
7838400.0,,14.200000000000003,630.0,,,,,,,,,,,,,,-1.0,15.0,4.0,1.0,11.0,1.0
8030400.0,,,,,,,,,,,,,,,,1622.276828277791,,,,,,
8112000.0,,97.2,1196.0,,,,,,,,,,,,,,-1.0,47.0,16.0,1.0,42.0,3.0
8128800.0,,,,,,,,,,,,,,,,1623.2583485283606,,,,,,
8318400.0,,,,,,,,,,,,,,,,1623.7581450244215,,,,,,
8452800.0,,62.2,1090.0,,,,,,,,,,,,,,-1.0,43.0,16.0,1.0,19.0,1.0
8599200.0,,84.2,1281.0,,,,,,,,,,,,,,-1.0,61.0,21.0,1.0,6.0,4.0
8726400.0,,,,0.0015117826405912638,0.0921672135591507,-2.38418573772492e-09,0.1807321012020111,5.165735839085528e-09,0.8539332747459412,-0.00013785940245725214,-0.013986948877573013,0.37611231207847595,0.46371129155158997,,0.00039937447059016886,,,,,,,
8784000.0,,,,,,,,,,,,,,,,1625.8946648819676,,,,,,
8800800.0,,,,0.0015346684958785772,-0.03419773653149605,-4.371007555903361e-09,-0.01259433664381504,-1.4503797274301178e-08,1.2652252912521362,-0.00012211543798912317,0.0616319365799427,0.5054866671562195,0.82126384973526,,0.00039936376339886514,,,,,,,
9084000.0,,,,,,,,,,,,,,,,1626.6423274402603,,,,,,
9158400.0,,,,,,,,,,,,,,,,1626.859181934408,,,,,,
9302400.0,,,,,,,,,,,,,,,,1627.840305896245,,,,,,
9364800.0,,20.200000000000003,1064.0,,,,,,,,,,,,,,-1.0,24.0,12.0,1.0,4.0,0.0
9504000.0,,,,,,,,,,,,,,,,1629.0403946066413,,,,,,
